,studrollno,SubName,SubjectId,per_lect
10621,17-1013     ,PSC 107 (Honours)  Positive Psychology,30311,100.0
10622,17-1013     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10623,17-1013     ,PSD 102  Health Psychology,30307,100.0
10624,17-1013     ,PSD 104 (Honours)  Criminal  Psychology,30306,92.3076923076923
10625,17-1014     ,ECC103 MACROECONOMICS,29932,92.3076923076923
10626,17-1014     ,ENGLISH  (GE) Womens Writing,59866,54.54545454545454
10627,17-1014     ,English (GENERAL CORE),59904,86.66666666666667
10628,17-1014     ,HSC103 History of Medieval India,29943,78.57142857142857
10629,17-1014     ,PSC 103 Social Psychology-I,119716,95.45454545454545
10630,17-1014     ,PSS 101 Stress Management ,29928,84.61538461538461
10631,17-1024     ,ECC105 INDIAN ECONOMY ,10958,100.0
10632,17-1024     ,ECD109 INTERNATIONAL  ECONOMICS,5481,93.33333333333333
10633,17-1024     ,HSC 105  Indian National Movement,5515,92.3076923076923
10634,17-1024     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10635,17-1024     ,Project,30007,80.0
10636,17-1026     ,ECC105 INDIAN ECONOMY ,10958,93.75
10637,17-1026     ,ECD109 INTERNATIONAL  ECONOMICS,5481,80.0
10638,17-1026     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,92.3076923076923
10639,17-1026     ,POD103  Public Administration,30345,85.71428571428571
10640,17-1027     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10641,17-1027     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,76.92307692307693
10642,17-1027     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,87.5
10643,17-1027     ,POD101  INTERNATIONAL  RELATIONS,30355,91.66666666666666
10644,17-1027     ,POD103  Public Administration,30345,92.85714285714286
10645,17-1027     ,POD105 COMPARATIVE  GOVT.,30347,91.66666666666666
10646,17-1028     ,ECC105 INDIAN ECONOMY ,10958,93.75
10647,17-1028     ,ECD107 PUBLIC  FINANCE I,5480,92.85714285714286
10648,17-1028     ,HSC 105  Indian National Movement,5515,100.0
10649,17-1028     ,HSD103  Rise  of  the  Modern West,5483,100.0
10650,17-1028     ,Project,30007,100.0
10651,17-1030     ,ECC103 MACROECONOMICS,29932,69.23076923076923
10652,17-1030     ,English (GENERAL CORE),59904,73.33333333333333
10653,17-1030     ,HSC103 History of Medieval India,29943,92.85714285714286
10654,17-1030     ,POC103 INDIAN  CONSTITUTION,29923,69.23076923076923
10655,17-1030     ,POS104  LEADERSHIP SKILLS IN  POLITICS,59844,71.42857142857143
10656,17-1030     ,PSG 103 Psychology  of  Gender  and Identity,29927,73.33333333333333
10657,17-1031     ,ECC105 INDIAN ECONOMY ,10958,81.25
10658,17-1031     ,ECD107 PUBLIC  FINANCE I,5480,100.0
10659,17-1031     ,HSC 105  Indian National Movement,5515,100.0
10660,17-1031     ,HSD103  Rise  of  the  Modern West,5483,100.0
10661,17-1052     ,ECC105 INDIAN ECONOMY ,10958,81.25
10662,17-1052     ,ECD107 PUBLIC  FINANCE I,5480,78.57142857142857
10663,17-1052     ,HSC 105  Indian National Movement,5515,92.3076923076923
10664,17-1052     ,HSD103  Rise  of  the  Modern West,5483,100.0
10665,17-1052     ,Project,30007,80.0
10666,17-1053     ,ECC105 INDIAN ECONOMY ,10958,75.0
10667,17-1053     ,ECD109 INTERNATIONAL  ECONOMICS,5481,86.66666666666667
10668,17-1053     ,HSC 105  Indian National Movement,5515,84.61538461538461
10669,17-1053     ,HSD103  Rise  of  the  Modern West,5483,81.81818181818183
10670,17-1054     ,ECC105 INDIAN ECONOMY ,10958,93.75
10671,17-1054     ,ECD107 PUBLIC  FINANCE I,5480,71.42857142857143
10672,17-1054     ,HSC 105  Indian National Movement,5515,92.3076923076923
10673,17-1054     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10674,17-1054     ,Project,30007,100.0
10675,17-1071     ,PSC 105 Psychological Disorders,30309,45.45454545454545
10676,17-1071     ,PSD 102  Health Psychology,30307,88.88888888888889
10677,17-1071     ,SOC105,5585,69.23076923076923
10678,17-1071     ,SOD101  Indian Society  Issues and Concerns,30343,66.66666666666666
10679,17-1072     ,PSC 105 Psychological Disorders,30309,36.36363636363637
10680,17-1072     ,PSD 102  Health Psychology,30307,88.88888888888889
10681,17-1072     ,SOC105,5585,100.0
10682,17-1072     ,SOD101  Indian Society  Issues and Concerns,30343,91.66666666666666
10683,17-1075     ,SOC105,5585,76.92307692307693
10684,17-1075     ,SOC106,30339,93.33333333333333
10685,17-1075     ,SOC107,30342,76.92307692307693
10686,17-1075     ,SOD101  Indian Society  Issues and Concerns,30343,75.0
10687,17-1075     ,SOD102  Rural Society in India,30340,70.0
10688,17-1075     ,SOD103,30341,78.57142857142857
10689,17-1076     ,ECC105 INDIAN ECONOMY ,10958,93.75
10690,17-1076     ,ECD109 INTERNATIONAL  ECONOMICS,5481,93.33333333333333
10691,17-1076     ,PSC 105 Psychological Disorders,30309,90.9090909090909
10692,17-1076     ,PSD 102  Health Psychology,30307,88.88888888888889
10693,17-1077     ,PSC 105 Psychological Disorders,30309,72.72727272727273
10694,17-1077     ,PSC 106 (Honours) Psychological  Testing,60620,88.88888888888889
10695,17-1077     ,PSC 107 (Honours)  Positive Psychology,30311,73.33333333333333
10696,17-1077     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10697,17-1077     ,PSD 102  Health Psychology,30307,77.77777777777779
10698,17-1077     ,PSD 104 (Honours)  Criminal  Psychology,30306,69.23076923076923
10699,17-1078     ,PSC 105 Psychological Disorders,30309,36.36363636363637
10700,17-1078     ,PSD 102  Health Psychology,30307,77.77777777777779
10701,17-1078     ,SOC105,5585,100.0
10702,17-1078     ,SOD101  Indian Society  Issues and Concerns,30343,41.66666666666667
10703,17-1081     ,PSC 105 Psychological Disorders,30309,54.54545454545454
10704,17-1081     ,PSD 102  Health Psychology,30307,66.66666666666666
10705,17-1081     ,SOC105,5585,46.15384615384615
10706,17-1081     ,SOD102  Rural Society in India,30340,40.0
10707,17-1082     ,PSC 105 Psychological Disorders,30309,72.72727272727273
10708,17-1082     ,PSD 102  Health Psychology,30307,66.66666666666666
10709,17-1082     ,SOC105,5585,84.61538461538461
10710,17-1082     ,SOD102  Rural Society in India,30340,90.0
10711,17-1083     ,ENC103 British Poetry  and  Drama,59870,71.42857142857143
10712,17-1083     ,English (GENERAL CORE),59904,100.0
10713,17-1083     ,POG107 INTRODUCTION TO  HUMAN RIGHTS,29921,33.33333333333333
10714,17-1083     ,PSC 103 Social Psychology-I,59858,85.71428571428571
10715,17-1083     ,PSS 101 Stress Management ,29928,46.15384615384615
10716,17-1083     ,SOC103,29970,76.92307692307693
10717,17-1084     ,ECC105 INDIAN ECONOMY ,10958,87.5
10718,17-1084     ,ECD109 INTERNATIONAL  ECONOMICS,5481,93.33333333333333
10719,17-1084     ,PSC 105 Psychological Disorders,30309,90.9090909090909
10720,17-1084     ,PSD 102  Health Psychology,30307,88.88888888888889
10721,17-1087     ,SOC105,5585,84.61538461538461
10722,17-1087     ,SOC106,30339,100.0
10723,17-1087     ,SOC107,30342,84.61538461538461
10724,17-1087     ,SOD101  Indian Society  Issues and Concerns,30343,100.0
10725,17-1087     ,SOD102  Rural Society in India,30340,60.0
10726,17-1087     ,SOD103,30341,92.85714285714286
10727,17-1091     ,ECC105 INDIAN ECONOMY ,10958,62.5
10728,17-1091     ,ECD107 PUBLIC  FINANCE I,5480,57.14285714285714
10729,17-1091     ,SOC105,5585,84.61538461538461
10730,17-1091     ,SOD101  Indian Society  Issues and Concerns,30343,66.66666666666666
10731,17-1092     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,92.3076923076923
10732,17-1092     ,POD103  Public Administration,30345,85.71428571428571
10733,17-1092     ,SOC105,5585,84.61538461538461
10734,17-1092     ,SOD102  Rural Society in India,30340,90.0
10735,17-1094     ,ECC105 INDIAN ECONOMY ,10958,81.25
10736,17-1094     ,ECD107 PUBLIC  FINANCE I,5480,85.71428571428571
10737,17-1094     ,SOC105,5585,100.0
10738,17-1094     ,SOD102  Rural Society in India,30340,100.0
10739,17-1098     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,84.61538461538461
10740,17-1098     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,84.61538461538461
10741,17-1098     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,75.0
10742,17-1098     ,POD101  INTERNATIONAL  RELATIONS,30355,75.0
10743,17-1098     ,POD103  Public Administration,30345,71.42857142857143
10744,17-1098     ,POD105 COMPARATIVE  GOVT.,30347,83.33333333333334
10745,17-1098     ,Project,29993,100.0
10746,17-1099     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10747,17-1099     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,69.23076923076923
10748,17-1099     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,87.5
10749,17-1099     ,POD101  INTERNATIONAL  RELATIONS,30355,83.33333333333334
10750,17-1099     ,POD103  Public Administration,30345,78.57142857142857
10751,17-1099     ,POD105 COMPARATIVE  GOVT.,30347,83.33333333333334
10752,17-1099     ,Project,29993,100.0
10753,17-1100     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10754,17-1100     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,76.92307692307693
10755,17-1100     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,100.0
10756,17-1100     ,POD101  INTERNATIONAL  RELATIONS,30355,83.33333333333334
10757,17-1100     ,POD103  Public Administration,30345,85.71428571428571
10758,17-1100     ,POD105 COMPARATIVE  GOVT.,30347,100.0
10759,17-1100     ,Project,29993,100.0
10760,17-1104     ,ECC103 MACROECONOMICS,29932,53.84615384615385
10761,17-1104     ,English (GENERAL CORE),59904,86.66666666666667
10762,17-1104     ,KOG103,29944,64.28571428571429
10763,17-1104     ,POC103 INDIAN  CONSTITUTION,29923,53.84615384615385
10764,17-1104     ,SOC103,29970,92.3076923076923
10765,17-1104     ,SOS103,29982,91.66666666666666
10766,17-1107     ,ECC103 MACROECONOMICS,29932,92.3076923076923
10767,17-1107     ,HGC101,59906,69.23076923076923
10768,17-1107     ,MRG103,89841,82.6086956521739
10769,17-1107     ,POC103 INDIAN  CONSTITUTION,29923,76.92307692307693
10770,17-1107     ,POS104  LEADERSHIP SKILLS IN  POLITICS,59844,100.0
10771,17-1107     ,SOC103,29970,92.3076923076923
10772,17-1113     ,ECC105 INDIAN ECONOMY ,10958,87.5
10773,17-1113     ,ECD107 PUBLIC  FINANCE I,5480,78.57142857142857
10774,17-1113     ,SOC105,5585,92.3076923076923
10775,17-1113     ,SOD101  Indian Society  Issues and Concerns,30343,91.66666666666666
10776,17-1114     ,SOC105,5585,100.0
10777,17-1114     ,SOC106,30339,100.0
10778,17-1114     ,SOC107,30342,84.61538461538461
10779,17-1114     ,SOD101  Indian Society  Issues and Concerns,30343,100.0
10780,17-1114     ,SOD102  Rural Society in India,30340,90.0
10781,17-1114     ,SOD103,30341,100.0
10782,17-1115     ,ECC103 MACROECONOMICS,29932,76.92307692307693
10783,17-1115     ,HGC101,59906,100.0
10784,17-1115     ,HNC103,59880,84.61538461538461
10785,17-1115     ,HNS101,29939,100.0
10786,17-1115     ,PSG 103 Psychology  of  Gender  and Identity,29927,66.66666666666666
10787,17-1115     ,SOC103,29970,76.92307692307693
10788,17-1117     ,ECC105 INDIAN ECONOMY ,10958,93.75
10789,17-1117     ,ECD107 PUBLIC  FINANCE I,5480,92.85714285714286
10790,17-1117     ,SOC105,5585,84.61538461538461
10791,17-1117     ,SOD102  Rural Society in India,30340,90.0
10792,17-1118     ,ECC103 MACROECONOMICS,29932,61.53846153846154
10793,17-1118     ,HNC103,59880,61.53846153846154
10794,17-1118     ,KGC101,29954,66.66666666666666
10795,17-1118     ,PSG 103 Psychology  of  Gender  and Identity,29927,66.66666666666666
10796,17-1118     ,SOC103,29970,84.61538461538461
10797,17-1118     ,SOS103,29982,91.66666666666666
10798,17-1119     ,ECC105 INDIAN ECONOMY ,10958,93.75
10799,17-1119     ,ECD107 PUBLIC  FINANCE I,5480,92.85714285714286
10800,17-1119     ,SOC105,5585,92.3076923076923
10801,17-1119     ,SOD102  Rural Society in India,30340,100.0
10802,17-1120     ,SOC105,5585,100.0
10803,17-1120     ,SOC106,30339,100.0
10804,17-1120     ,SOC107,30342,84.61538461538461
10805,17-1120     ,SOD101  Indian Society  Issues and Concerns,30343,100.0
10806,17-1120     ,SOD102  Rural Society in India,30340,100.0
10807,17-1120     ,SOD103,30341,100.0
10808,17-1121     ,ECC105 INDIAN ECONOMY ,10958,87.5
10809,17-1121     ,ECD107 PUBLIC  FINANCE I,5480,92.85714285714286
10810,17-1121     ,SOC105,5585,84.61538461538461
10811,17-1121     ,SOD102  Rural Society in India,30340,70.0
10812,17-1123     ,ECC105 INDIAN ECONOMY ,10958,87.5
10813,17-1123     ,ECD109 INTERNATIONAL  ECONOMICS,5481,86.66666666666667
10814,17-1123     ,SOC105,5585,84.61538461538461
10815,17-1123     ,SOD101  Indian Society  Issues and Concerns,30343,91.66666666666666
10816,17-1124     ,HNC105,60722,88.88888888888889
10817,17-1124     ,HNC106,30358,100.0
10818,17-1124     ,HNC107,30360,100.0
10819,17-1124     ,HND101,60714,100.0
10820,17-1124     ,HND102  ,29979,100.0
10821,17-1124     ,HND103,30359,100.0
10822,17-1126     ,ECC105 INDIAN ECONOMY ,10958,68.75
10823,17-1126     ,ECD109 INTERNATIONAL  ECONOMICS,5481,93.33333333333333
10824,17-1126     ,SOC105,5585,100.0
10825,17-1126     ,SOD101  Indian Society  Issues and Concerns,30343,83.33333333333334
10826,17-1141     ,MRC105,30364,100.0
10827,17-1141     ,MRD101,30369,82.35294117647058
10828,17-1141     ,PSC 105 Psychological Disorders,30309,63.63636363636363
10829,17-1141     ,PSD 102  Health Psychology,30307,88.88888888888889
10830,17-1142     ,MRC105,30364,100.0
10831,17-1142     ,MRD101,30369,88.23529411764706
10832,17-1142     ,PSC 105 Psychological Disorders,30309,54.54545454545454
10833,17-1142     ,PSD 102  Health Psychology,30307,88.88888888888889
10834,17-1151     ,MRC105,30364,85.71428571428571
10835,17-1151     ,MRC106,30363,78.57142857142857
10836,17-1151     ,MRC107,30368,82.35294117647058
10837,17-1151     ,MRD101,30369,70.58823529411765
10838,17-1151     ,MRD102,5574,88.23529411764706
10839,17-1151     ,MRD103,60732,92.3076923076923
10840,17-1154     ,ECC105 INDIAN ECONOMY ,10958,62.5
10841,17-1154     ,ECD107 PUBLIC  FINANCE I,5480,64.28571428571429
10842,17-1154     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,84.61538461538461
10843,17-1154     ,POD103  Public Administration,30345,78.57142857142857
10844,17-1161     ,HNC105,60722,66.66666666666666
10845,17-1161     ,HND101,60714,100.0
10846,17-1161     ,MRC105,30364,85.71428571428571
10847,17-1161     ,MRD101,30369,70.58823529411765
10848,17-1162     ,HNC105,60722,77.77777777777779
10849,17-1162     ,HND101,60714,100.0
10850,17-1162     ,MRC105,30364,85.71428571428571
10851,17-1162     ,MRD101,30369,76.47058823529412
10852,17-1164     ,HNC105,60722,66.66666666666666
10853,17-1164     ,HND101,60714,100.0
10854,17-1164     ,MRC105,30364,92.85714285714286
10855,17-1164     ,MRD101,30369,82.35294117647058
10856,17-1167     ,HNC105,60722,88.88888888888889
10857,17-1167     ,HNC106,30358,100.0
10858,17-1167     ,HNC107,30360,100.0
10859,17-1167     ,HND101,60714,94.11764705882352
10860,17-1167     ,HND102  ,29979,92.3076923076923
10861,17-1167     ,HND103,30359,91.66666666666666
10862,17-1168     ,ECC105 INDIAN ECONOMY ,10958,31.25
10863,17-1168     ,ECD107 PUBLIC  FINANCE I,5480,28.57142857142857
10864,17-1168     ,MRC105,30364,64.28571428571429
10865,17-1168     ,MRD103,60732,69.23076923076923
10866,17-1169     ,HNC105,60722,77.77777777777779
10867,17-1169     ,HND101,60714,100.0
10868,17-1169     ,MRC105,30364,85.71428571428571
10869,17-1169     ,MRD101,30369,82.35294117647058
10870,17-1170     ,ECC105 INDIAN ECONOMY ,10958,31.25
10871,17-1170     ,ECD109 INTERNATIONAL  ECONOMICS,5481,40.0
10872,17-1170     ,MRC105,30364,85.71428571428571
10873,17-1170     ,MRD103,60732,69.23076923076923
10874,17-1171     ,HNC105,60722,66.66666666666666
10875,17-1171     ,HND101,60714,100.0
10876,17-1171     ,MRC105,30364,92.85714285714286
10877,17-1171     ,MRD101,30369,82.35294117647058
10878,17-1173     ,MRC105,30364,92.85714285714286
10879,17-1173     ,MRC106,30363,78.57142857142857
10880,17-1173     ,MRC107,30368,100.0
10881,17-1173     ,MRD101,30369,82.35294117647058
10882,17-1173     ,MRD102,5574,94.11764705882352
10883,17-1173     ,MRD103,60732,84.61538461538461
10884,17-1203     ,HSC 105  Indian National Movement,5515,84.61538461538461
10885,17-1203     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10886,17-1203     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,69.23076923076923
10887,17-1203     ,KOD101 Prashasakiy Vevharantli Konkani,30337,78.57142857142857
10888,17-1204     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,84.61538461538461
10889,17-1204     ,KOC107 Venchik konkani kadambareancho abhyas,30335,100.0
10890,17-1204     ,KOD101 Prashasakiy Vevharantli Konkani,30337,85.71428571428571
10891,17-1204     ,KOD103  BHASVIDHYANACHI  VALLAKH,30338,100.0
10892,17-1204     ,KOD103 Bakibab Borkar  hanchea  Konkani kavitancho abhyas  ,30334,92.85714285714286
10893,17-1204     ,kOC106 BHARTIYA  KAVYASHASTR,30336,85.71428571428571
10894,17-1205     ,HSC 105  Indian National Movement,5515,100.0
10895,17-1205     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10896,17-1205     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,92.3076923076923
10897,17-1205     ,KOD101 Prashasakiy Vevharantli Konkani,30337,78.57142857142857
10898,17-1221     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,53.84615384615385
10899,17-1221     ,KOD101 Prashasakiy Vevharantli Konkani,30337,64.28571428571429
10900,17-1221     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,76.92307692307693
10901,17-1221     ,POD103  Public Administration,30345,71.42857142857143
10902,17-1222     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,92.3076923076923
10903,17-1222     ,KOD101 Prashasakiy Vevharantli Konkani,30337,71.42857142857143
10904,17-1222     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10905,17-1222     ,POD103  Public Administration,30345,78.57142857142857
10906,17-1223     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,84.61538461538461
10907,17-1223     ,KOD101 Prashasakiy Vevharantli Konkani,30337,85.71428571428571
10908,17-1223     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10909,17-1223     ,POD103  Public Administration,30345,78.57142857142857
10910,17-1224     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,84.61538461538461
10911,17-1224     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,76.92307692307693
10912,17-1224     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,81.25
10913,17-1224     ,POD101  INTERNATIONAL  RELATIONS,30355,91.66666666666666
10914,17-1224     ,POD103  Public Administration,30345,85.71428571428571
10915,17-1224     ,POD105 COMPARATIVE  GOVT.,30347,83.33333333333334
10916,17-1225     ,HSC 105  Indian National Movement,5515,92.3076923076923
10917,17-1225     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10918,17-1225     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,84.61538461538461
10919,17-1225     ,KOD101 Prashasakiy Vevharantli Konkani,30337,78.57142857142857
10920,17-1226     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,100.0
10921,17-1226     ,KOD101 Prashasakiy Vevharantli Konkani,30337,78.57142857142857
10922,17-1226     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10923,17-1226     ,POD103  Public Administration,30345,85.71428571428571
10924,17-1227     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,84.61538461538461
10925,17-1227     ,POC107 INDIAN  POLITICAL  THINKERS (KAUTILYA TO  VIVEKANANDA),30353,69.23076923076923
10926,17-1227     ,POC109  GOVERNMENT  AND  POLITICS  OF  GOA  (1961 - 1987),30351,93.75
10927,17-1227     ,POD101  INTERNATIONAL  RELATIONS,30355,75.0
10928,17-1227     ,POD103  Public Administration,30345,71.42857142857143
10929,17-1227     ,POD105 COMPARATIVE  GOVT.,30347,91.66666666666666
10930,17-1228     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,84.61538461538461
10931,17-1228     ,KOD101 Prashasakiy Vevharantli Konkani,30337,78.57142857142857
10932,17-1228     ,POC105  WESTERN POLITICAL THINKERS (PLATO TO  LOCKE) ,30349,100.0
10933,17-1228     ,POD103  Public Administration,30345,78.57142857142857
10934,17-1230     ,HSC 105  Indian National Movement,5515,92.3076923076923
10935,17-1230     ,HSD103  Rise  of  the  Modern West,5483,72.72727272727273
10936,17-1230     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,92.3076923076923
10937,17-1230     ,KOD101 Prashasakiy Vevharantli Konkani,30337,57.14285714285714
10938,17-1241     ,HSC 105  Indian National Movement,5515,92.3076923076923
10939,17-1241     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10940,17-1241     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,92.3076923076923
10941,17-1241     ,KOD101 Prashasakiy Vevharantli Konkani,30337,71.42857142857143
10942,17-1251     ,SOC105,5585,69.23076923076923
10943,17-1251     ,SOC106,30339,93.33333333333333
10944,17-1251     ,SOC107,30342,76.92307692307693
10945,17-1251     ,SOD101  Indian Society  Issues and Concerns,30343,83.33333333333334
10946,17-1251     ,SOD102  Rural Society in India,30340,70.0
10947,17-1251     ,SOD103,30341,78.57142857142857
10948,17-1252     ,SOC105,5585,69.23076923076923
10949,17-1252     ,SOC106,30339,93.33333333333333
10950,17-1252     ,SOC107,30342,76.92307692307693
10951,17-1252     ,SOD101  Indian Society  Issues and Concerns,30343,83.33333333333334
10952,17-1252     ,SOD102  Rural Society in India,30340,60.0
10953,17-1252     ,SOD103,30341,78.57142857142857
10954,17-1256     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,100.0
10955,17-1256     ,KOC107 Venchik konkani kadambareancho abhyas,30335,100.0
10956,17-1256     ,KOD101 Prashasakiy Vevharantli Konkani,30337,100.0
10957,17-1256     ,KOD103  BHASVIDHYANACHI  VALLAKH,30338,100.0
10958,17-1256     ,KOD103 Bakibab Borkar  hanchea  Konkani kavitancho abhyas  ,30334,100.0
10959,17-1256     ,kOC106 BHARTIYA  KAVYASHASTR,30336,100.0
10960,17-1259     ,KOC105 Konkani Bhas  ani sahityacho Itihas,5579,84.61538461538461
10961,17-1259     ,KOD101 Prashasakiy Vevharantli Konkani,30337,71.42857142857143
10962,17-1259     ,SOC105,5585,92.3076923076923
